PK,DataDiRiferimento,Macrozona,PrezzoBase,ComponenteIncentivante,PrezzoSbilanciamento,LoadingSliceDate,SliceDate
MjAyMy0xMC0wMXx6MQ==,2023-10-01,z1,1.0000000000,2.0000000000,9.0000000000,20240111,20240111
MjAyMy0xMC0wMnx6MQ==,2023-10-02,z1,1.0000000000,2.0000000000,9.0000000000,20231226,20231226
MjAyMy0xMC0wMnx6NA==,2023-10-02,z4,1.0000000000,2.0000000000,9.0000000000,20240111,20240111
MjAyMy0xMS0wMXx6Mg==,2023-11-01,z2,4.0000000000,5.0000000000,9.0000000000,20240111,20240111
MjAyMy0xMS0wM3x6Mg==,2023-11-03,z2,4.0000000000,5.0000000000,8.0000000000,20231226,20231226
MjAyMy0xMS0wM3x6NQ==,2023-11-03,z5,4.0000000000,5.0000000000,8.0000000000,20240111,20240111
MjAyMy0xMi0wMXx6Mw==,2023-12-01,z3,6.0000000000,5.0000000000,8.0000000000,20240111,20240111
MjAyMy0xMi0wNHx6Mw==,2023-12-04,z3,6.0000000000,5.0000000000,10.0000000000,20231226,20231226
MjAyMy0xMi0wNHx6Ng==,2023-12-04,z6,6.0000000000,5.0000000000,10.0000000000,20240111,20240111
MjAyMy0xMy0wMXx6MQ==,2023-13-01,z1,1.0000000000,2.0000000000,,20231226,20231226
MjAyMy0xNC0wMXx6Mg==,2023-14-01,z2,4.0000000000,5.0000000000,9.0000000000,20231226,20231226
MjAyMy0xNS0wMXx6Mw==,2023-15-01,z3,6.0000000000,5.0000000000,8.0000000000,20231226,20231226
