PK,DataDiRiferimento,Macrozona,SbilAggregatoZonale[MWh],SegnoAggregatoZonale,Scambi[MWh],Estero[MWh],LoadingSliceDate,SliceDate
MjIvMTAvMjAyNCAxNjoxNXxTVUQ=,22/10/2024 16:15,SUD,-164.2300000000,-,486.0140000000,135.5750000000,20250203,20250203
MjIvMTAvMjAyNCAwNzozMHxOT1JE,22/10/2024 07:30,NORD,-74.5910000000,-,-588.8360000000,904.4560000000,20250203,20250203
MjIvMTAvMjAyNCAyMjowMHxTVUQ=,22/10/2024 22:00,SUD,-80.4590000000,-,833.6140000000,113.1500000000,20250203,20250203
MjIvMTAvMjAyNCAxNjowMHxTVUQ=,22/10/2024 16:00,SUD,-116.8410000000,-,465.2310000000,133.7330000000,20250203,20250203
MjIvMTAvMjAyNCAyMDoxNXxTVUQ=,22/10/2024 20:15,SUD,-51.1890000000,-,827.6330000000,-10.4400000000,20250203,20250203
MjIvMTAvMjAyNCAyMToxNXxTVUQ=,22/10/2024 21:15,SUD,-16.6210000000,-,832.3560000000,106.0100000000,20250203,20250203
MjIvMTAvMjAyNCAwMDo0NXxTVUQ=,22/10/2024 00:45,SUD,-112.2140000000,-,658.7090000000,222.8830000000,20250203,20250203
MjIvMTAvMjAyNCAwODozMHxOT1JE,22/10/2024 08:30,NORD,-56.8820000000,-,-295.9720000000,954.3040000000,20250203,20250203
MjIvMTAvMjAyNCAxMjoxNXxTVUQ=,22/10/2024 12:15,SUD,-130.0190000000,-,282.7560000000,228.2840000000,20250203,20250203
MjIvMTAvMjAyNCAxMToxNXxTVUQ=,22/10/2024 11:15,SUD,63.7270000000,+,277.1270000000,223.7970000000,20250203,20250203
MjIvMTAvMjAyNCAxMzowMHxOT1JE,22/10/2024 13:00,NORD,215.8740000000,+,-110.6890000000,1007.6270000000,20250203,20250203
MjIvMTAvMjAyNCAwMzoxNXxOT1JE,22/10/2024 03:15,NORD,-37.9540000000,-,-508.8620000000,1192.0550000000,20250203,20250203
MjIvMTAvMjAyNCAxNDowMHxOT1JE,22/10/2024 14:00,NORD,145.2180000000,+,-223.7610000000,1017.0930000000,20250203,20250203
MjIvMTAvMjAyNCAwMTozMHxOT1JE,22/10/2024 01:30,NORD,27.3730000000,+,-565.4170000000,1244.6710000000,20250203,20250203
MjIvMTAvMjAyNCAwNTowMHxOT1JE,22/10/2024 05:00,NORD,134.3390000000,+,-576.6480000000,1263.8470000000,20250203,20250203
MjIvMTAvMjAyNCAwNzo0NXxTVUQ=,22/10/2024 07:45,SUD,-65.6890000000,-,503.5290000000,-142.1360000000,20250203,20250203
MjIvMTAvMjAyNCAxNDoxNXxTVUQ=,22/10/2024 14:15,SUD,-124.6180000000,-,284.9170000000,251.7250000000,20250203,20250203
MjIvMTAvMjAyNCAwODowMHxTVUQ=,22/10/2024 08:00,SUD,-84.8140000000,-,350.7710000000,36.4580000000,20250203,20250203
MjIvMTAvMjAyNCAwOTowMHxTVUQ=,22/10/2024 09:00,SUD,-14.5150000000,-,217.0200000000,216.2680000000,20250203,20250203
MjIvMTAvMjAyNCAxMDoxNXxOT1JE,22/10/2024 10:15,NORD,160.8030000000,+,-228.3980000000,1029.6650000000,20250203,20250203
MjIvMTAvMjAyNCAwNzowMHxOT1JE,22/10/2024 07:00,NORD,155.0790000000,+,-676.3120000000,880.6610000000,20250203,20250203
